Distance(cm)	MnO(Wt%)
0.00000	13.619
0.00200	13.405
0.00390	13.491
0.00590	13.500
0.00780	13.551
0.01370	13.625
0.01760	13.607
0.01951	13.458
0.02151	13.437
0.02351	13.348
0.02541	13.277
0.02741	13.233
0.02931	13.108
0.03131	12.994
0.03321	12.878
0.03521	12.835
0.03711	12.825
0.03911	12.811
0.04101	12.638
0.04301	12.432
0.04491	12.298
0.04691	12.132
0.04881	12.181
0.05081	11.992
0.05271	11.711
0.05471	11.622
0.05671	11.522
0.05861	11.357
0.06061	11.421
0.06251	11.163
0.06451	10.708
0.06641	10.645
0.06841	10.449
0.07031	10.425
0.07231	10.236
0.07422	9.986
0.07622	9.735
0.07812	9.641
0.08012	9.398
0.08202	9.507
0.08402	8.922
0.08592	8.377
0.08792	8.172
0.08992	7.638
0.09182	6.420
0.09382	5.435
0.09572	4.561
0.09772	3.953
0.09962	3.224
0.10162	2.615
0.10352	2.073
0.10552	1.597
0.10742	1.258
0.10942	0.852
0.11132	0.614
0.11332	0.447
0.11522	0.398
0.11722	0.378
