Distance(cm)	MnO(Wt%)
0.00000	5.670
0.00211	5.660
0.00413	5.620
0.00624	5.620
0.00835	5.620
0.01037	5.590
0.01248	5.580
0.01451	5.580
0.01661	5.430
0.01872	5.440
0.02075	5.410
0.02286	5.380
0.02488	5.260
0.02699	5.260
0.02910	5.150
0.03112	5.020
0.03323	4.990
0.03525	4.870
0.03736	4.680
0.03947	4.470
0.04149	4.390
0.04360	4.270
0.04562	3.940
0.04773	3.680
0.04984	3.560
0.05187	3.610
0.05398	3.360
0.05600	3.330
0.05811	3.220
0.06013	3.090
0.06224	2.960
0.06435	2.790
0.06637	2.620
0.06848	2.410
0.07050	2.160
0.07261	1.890
0.07472	1.660
0.07674	1.390
0.07885	1.200
0.08088	1.020
0.08299	0.880
0.08510	0.760
0.08712	0.680
0.08923	0.610
0.09125	0.510
0.09336	0.520
0.09547	0.480
