Distance(cm)	MnO(Wt%)
0.0000000	4.400
0.0020000	4.386
0.0040000	4.417
0.0060000	4.300
0.0080025	4.350
0.0101025	4.313
0.0121025	4.259
0.0141025	4.191
0.0161025	4.202
0.0181050	4.115
0.0201050	3.962
0.0221050	3.901
0.0242050	3.825
0.0262050	3.633
0.0282075	3.641
0.0322075	3.407
0.0342075	3.183
0.0362075	3.148
0.0382100	2.853
0.0403100	2.746
0.0423100	2.595
0.0443100	2.465
0.0463100	2.269
0.0483125	2.093
0.0523125	1.724
0.0544125	1.543
0.0564125	1.247
0.0584150	1.138
0.0624150	1.026
0.0664150	0.811
0.0684175	0.641
0.0705175	0.545
0.0725175	0.472
0.0745175	0.412
0.0765175	0.336
0.0785200	0.304
0.0805200	0.267
0.0825200	0.230
0.0845200	0.194
0.0866200	0.180
0.0886225	0.168
0.0906225	0.139
