Distance(cm)	MnO(Wt%)
0.0000000	4.583
0.0020100	4.565
0.0040200	4.638
0.0060300	4.596
0.0081395	4.618
0.0101494	4.576
0.0121594	4.528
0.0141619	4.540
0.0161719	4.531
0.0182814	4.448
0.0202914	4.383
0.0223013	4.300
0.0243113	4.301
0.0264208	4.156
0.0284233	4.044
0.0304333	3.882
0.0324433	3.819
0.0345528	3.771
0.0365627	3.531
0.0385727	3.315
0.0405827	3.226
0.0425852	3.013
0.0446947	2.791
0.0467047	2.598
0.0487146	2.405
0.0548441	1.842
0.0568466	1.698
0.0588566	1.459
0.0609661	1.325
0.0649860	1.028
0.0690060	0.805
0.0711083	0.693
0.0731183	0.615
0.0751283	0.538
0.0771383	0.466
0.0792478	0.359
0.0812577	0.329
0.0832677	0.265
0.0852702	0.237
0.0873797	0.187
0.0893897	0.183
