Final Radius(cm)	Core MnO (Wt %)
0.09145	4.583
0.09785	4.532
0.08960	4.448
0.09175	4.267
0.09650	4.214
0.08375	4.140
0.09900	4.109
0.08905	3.948
0.08830	3.881
0.08090	3.856
0.06809	3.840
0.08285	3.805
0.09165	3.766
0.08600	3.755
0.08304	3.749
0.08110	3.728
0.08455	3.700
0.10070	3.679
0.07895	3.665
0.08900	3.661
0.08185	3.640
0.08161	3.586
0.08695	3.585
0.07805	3.561
0.08345	3.506
0.07565	3.495
0.07585	3.480
0.10040	3.475
0.07360	3.467
0.08335	3.348
0.07780	3.326
0.07445	3.322
0.06431	3.318
0.08050	3.280
0.06880	3.273
0.08455	3.258
0.07625	3.247
0.06590	3.230
0.06710	3.227
0.06175	3.181
0.07857	3.167
0.06605	3.141
0.06887	3.111
0.07019	3.098
0.06625	3.095
0.07380	3.048
0.07438	3.044
0.07755	3.009
0.06233	3.007
0.07565	2.990
0.06530	2.967
0.07265	2.946
0.08020	2.942
0.07791	2.939
0.07438	2.928
0.05380	2.922
0.07380	2.892
0.06300	2.851
0.07595	2.796
0.06530	2.787
0.06600	2.777
0.07580	2.769
0.07640	2.764
0.06286	2.754
0.06380	2.746
0.06205	2.745
0.06795	2.740
0.06675	2.710
0.08045	2.679
0.07805	2.658
0.06568	2.613
0.06885	2.605
0.06820	2.600
0.07005	2.588
0.07235	2.585
0.07155	2.554
0.07650	2.553
0.06790	2.553
0.06065	2.550
0.06650	2.542
0.07485	2.532
0.07015	2.525
0.06765	2.520
0.07465	2.477
0.07200	2.473
0.05490	2.443
0.06710	2.435
0.06985	2.431
0.06967	2.384
0.07800	2.371
0.06670	2.365
0.05775	2.361
0.06760	2.360
0.06735	2.359
0.06305	2.353
0.06740	2.337
0.06935	2.331
0.05885	2.314
0.07060	2.308
0.05565	2.300
0.06836	2.289
0.05975	2.276
0.06305	2.251
0.05340	2.251
0.06620	2.248
0.05975	2.233
0.06715	2.225
0.06175	2.217
0.06475	2.211
0.05730	2.210
0.05870	2.206
0.07260	2.202
0.06143	2.192
0.06295	2.171
0.05805	2.170
0.07380	2.169
0.04945	2.166
0.05241	2.142
0.05995	2.140
0.05795	2.134
0.06850	2.124
0.06145	2.112
0.06325	2.107
0.06100	2.102
0.05490	2.100
0.06125	2.095
0.05865	2.090
0.05042	2.089
0.06875	2.061
0.06285	2.060
0.05525	2.058
0.05775	2.053
0.06600	2.049
0.05317	2.038
0.05785	2.030
0.06230	2.029
0.05870	2.020
0.05440	2.011
0.05470	2.010
0.06120	1.999
0.06175	1.971
0.06117	1.963
0.05430	1.958
0.06535	1.935
0.05465	1.931
0.05860	1.928
0.05550	1.928
0.05685	1.925
0.06230	1.899
0.05110	1.888
0.06065	1.879
0.05980	1.785
0.05830	1.783
0.07230	1.758
0.05520	1.756
0.06005	1.751
0.05230	1.751
0.05425	1.733
0.04705	1.722
0.05650	1.697
0.05243	1.693
0.05575	1.679
0.04670	1.674
0.05190	1.673
0.06415	1.668
0.05405	1.667
0.05780	1.661
0.05300	1.651
0.05545	1.638
0.05300	1.617
0.05025	1.602
0.06400	1.587
0.05610	1.571
0.04870	1.569
0.05021	1.564
0.05156	1.564
0.04710	1.557
0.05555	1.544
0.04890	1.543
0.05745	1.540
0.05060	1.534
0.05035	1.504
0.05079	1.482
0.04315	1.461
0.04370	1.461
0.05050	1.457
0.05310	1.452
0.05890	1.451
0.05294	1.429
0.04535	1.424
0.05775	1.412
0.04655	1.403
0.04900	1.355
0.04970	1.345
0.04339	1.334
0.04530	1.330
0.05860	1.323
0.06207	1.323
0.04650	1.322
0.04505	1.321
0.04477	1.321
0.05225	1.313
0.04290	1.310
0.03920	1.289
0.03995	1.284
0.04420	1.281
0.04890	1.279
0.04339	1.274
0.04680	1.267
0.04975	1.258
0.04340	1.247
0.04675	1.217
0.04335	1.217
0.05355	1.213
0.05460	1.184
0.04950	1.182
0.05047	1.161
0.03955	1.157
0.04340	1.138
0.04050	1.132
0.04475	1.131
0.05040	1.129
0.04740	1.118
0.04855	1.110
0.04955	1.106
0.04910	1.105
0.04610	1.103
0.03937	1.082
0.04538	1.078
0.04862	1.078
0.04318	1.077
0.04385	1.060
0.04238	1.057
0.04545	1.053
0.05130	1.051
0.04410	1.046
0.04141	1.043
0.04375	1.041
0.04370	1.035
0.03935	1.030
0.04255	1.030
0.04395	1.028
0.04360	1.023
0.03965	1.021
0.04500	1.016
0.04245	1.004
0.04575	0.991
0.04580	0.980
0.04460	0.967
0.04606	0.963
0.04130	0.959
0.03720	0.947
0.04030	0.944
0.04417	0.938
0.04020	0.926
0.04450	0.921
0.03565	0.908
0.04165	0.903
0.04135	0.898
0.03705	0.893
0.03750	0.866
0.03780	0.861
0.03715	0.856
0.04461	0.851
0.03260	0.849
0.03440	0.847
0.03400	0.838
0.04535	0.832
0.04100	0.829
0.04035	0.828
0.03355	0.826
0.03667	0.821
0.03785	0.817
0.03300	0.802
0.04385	0.799
0.03117	0.795
0.03825	0.785
0.03480	0.777
0.03208	0.777
0.03553	0.762
0.03285	0.760
0.03295	0.754
0.03340	0.751
0.03695	0.751
