Crystallize 1.4 log for model PM3_150728_2021
Run began at: Wed Jul 29 07:32:34 2015

**** WARNING ****: max courant = 1.15152.  Instability possible.

Random seed used = -1438173154

Time = 250000.000000, delC = 6.94154e-09, NuclRate = 0
Time = 500000.000000, delC = 1.39272e-08, NuclRate = 3.31067e-239
Time = 750000.000000, delC = 2.09589e-08, NuclRate = 3.3203e-125
Time = 1000000.000000, delC = 2.80365e-08, NuclRate = 7.0036e-81
Time = 1250000.000000, delC = 3.51601e-08, NuclRate = 9.18859e-59
Time = 1500000.000000, delC = 4.23294e-08, NuclRate = 5.01903e-46
Time = 1750000.000000, delC = 4.95446e-08, NuclRate = 5.68999e-38
Time = 2000000.000000, delC = 5.68054e-08, NuclRate = 1.57045e-32
Time = 2250000.000000, delC = 6.41118e-08, NuclRate = 1.13924e-28
Time = 2500000.000000, delC = 7.14637e-08, NuclRate = 7.98215e-26
Time = 2750000.000000, delC = 7.8861e-08, NuclRate = 1.15885e-23
Time = 3000000.000000, delC = 8.63037e-08, NuclRate = 5.59409e-22
Time = 3250000.000000, delC = 9.37916e-08, NuclRate = 1.21976e-20
Time = 3500000.000000, delC = 1.01325e-07, NuclRate = 1.47602e-19
Time = 3750000.000000, delC = 1.08903e-07, NuclRate = 1.14334e-18
Time = 4000000.000000, delC = 1.16526e-07, NuclRate = 6.2757e-18
Time = 4250000.000000, delC = 1.24194e-07, NuclRate = 2.62839e-17
Time = 4500000.000000, delC = 1.31907e-07, NuclRate = 8.87442e-17
Time = 4750000.000000, delC = 1.39665e-07, NuclRate = 2.51809e-16
Time = 5000000.000000, delC = 1.47467e-07, NuclRate = 6.19944e-16
Time = 5250000.000000, delC = 1.55314e-07, NuclRate = 1.35763e-15
Time = 5500000.000000, delC = 1.63205e-07, NuclRate = 2.69697e-15
Time = 5750000.000000, delC = 1.71141e-07, NuclRate = 4.93661e-15
Time = 6000000.000000, delC = 1.7912e-07, NuclRate = 8.4316e-15
Time = 6250000.000000, delC = 1.87144e-07, NuclRate = 1.3576e-14
Time = 6500000.000000, delC = 1.95212e-07, NuclRate = 2.0781e-14
Time = 6750000.000000, delC = 2.03324e-07, NuclRate = 3.04516e-14
Time = 7000000.000000, delC = 2.11479e-07, NuclRate = 4.29653e-14
Time = 7250000.000000, delC = 2.19679e-07, NuclRate = 5.86541e-14
Time = 7500000.000000, delC = 2.27921e-07, NuclRate = 7.77912e-14
Time = 7750000.000000, delC = 2.36208e-07, NuclRate = 1.00583e-13
Time = 8000000.000000, delC = 2.44537e-07, NuclRate = 1.27164e-13
Time = 8250000.000000, delC = 2.5291e-07, NuclRate = 1.576e-13
Uncompensated deficit of 3.48799e-09 g at index (113,128,108) at time 8.458 m.y.
Uncompensated deficit of 3.68165e-09 g at index (114,128,109) at time 8.458 m.y.
Uncompensated deficit of 2.28578e-09 g at index (114,129,108) at time 8.472 m.y.
Uncompensated deficit of 1.69542e-09 g at index (113,129,107) at time 8.494 m.y.
Time = 8500000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 4.79056e-10 g at index (32,21,99) at time 8.504 m.y.
Uncompensated deficit of 2.9417e-09 g at index (32,22,98) at time 8.528 m.y.
Uncompensated deficit of 4.13797e-09 g at index (32,20,100) at time 8.528 m.y.
Time = 8750000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Time = 9000000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Time = 9250000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 5.11566e-09 g at index (130,63,108) at time 9.308 m.y.
Uncompensated deficit of 6.85097e-10 g at index (129,63,107) at time 9.310 m.y.
Uncompensated deficit of 6.54899e-11 g at index (128,62,108) at time 9.330 m.y.
Uncompensated deficit of 9.50215e-10 g at index (130,62,109) at time 9.332 m.y.
Uncompensated deficit of 8.59292e-09 g at index (131,64,107) at time 9.338 m.y.
Uncompensated deficit of 7.64132e-09 g at index (128,61,109) at time 9.378 m.y.
Uncompensated deficit of 6.54197e-09 g at index (116,130,80) at time 9.402 m.y.
Uncompensated deficit of 3.49378e-10 g at index (116,129,81) at time 9.416 m.y.
Uncompensated deficit of 8.43747e-10 g at index (116,131,79) at time 9.424 m.y.
Uncompensated deficit of 2.94672e-10 g at index (115,131,80) at time 9.440 m.y.
Uncompensated deficit of 8.39512e-09 g at index (119,129,79) at time 9.470 m.y.
Uncompensated deficit of 4.66584e-09 g at index (116,128,82) at time 9.470 m.y.
Uncompensated deficit of 1.22663e-09 g at index (115,132,79) at time 9.480 m.y.
Time = 9500000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 1.80933e-09 g at index (32,94,104) at time 9.512 m.y.
Uncompensated deficit of 4.98636e-09 g at index (3,77,89) at time 9.582 m.y.
Uncompensated deficit of 5.87632e-09 g at index (2,77,90) at time 9.586 m.y.
Time = 9750000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 4.9429e-09 g at index (121,131,74) at time 9.770 m.y.
Uncompensated deficit of 1.32611e-08 g at index (122,129,75) at time 9.794 m.y.
Uncompensated deficit of 3.85231e-09 g at index (129,121,98) at time 9.932 m.y.
Uncompensated deficit of 9.28349e-09 g at index (119,114,71) at time 9.984 m.y.
Uncompensated deficit of 5.60764e-09 g at index (130,122,99) at time 9.984 m.y.
Uncompensated deficit of 1.15807e-08 g at index (118,114,70) at time 9.990 m.y.
Time = 10000000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 2.9958e-09 g at index (37,53,9) at time 10.024 m.y.
Uncompensated deficit of 1.00199e-08 g at index (80,28,134) at time 10.032 m.y.
Uncompensated deficit of 1.00305e-10 g at index (119,115,69) at time 10.042 m.y.
Uncompensated deficit of 3.03717e-09 g at index (73,135,137) at time 10.054 m.y.
Uncompensated deficit of 4.80523e-09 g at index (81,28,135) at time 10.056 m.y.
Uncompensated deficit of 9.8455e-09 g at index (82,30,135) at time 10.056 m.y.
