Crystallize 1.4 log for model PM3_150728_2021_t20
Run began at: Fri Sep  4 14:12:51 2015

**** WARNING ****: max courant = 1.15152.  Instability possible.

Random seed used = -1441393971

Time = 250000.000000, delC = 6.94154e-09, NuclRate = 0
Time = 500000.000000, delC = 1.39272e-08, NuclRate = 3.31067e-239
Time = 750000.000000, delC = 2.09589e-08, NuclRate = 3.3203e-125
Time = 1000000.000000, delC = 2.80365e-08, NuclRate = 7.0036e-81
Time = 1250000.000000, delC = 3.51601e-08, NuclRate = 9.18859e-59
Time = 1500000.000000, delC = 4.23294e-08, NuclRate = 5.01903e-46
Time = 1750000.000000, delC = 4.95446e-08, NuclRate = 5.68999e-38
Time = 2000000.000000, delC = 5.68054e-08, NuclRate = 1.57045e-32
Time = 2250000.000000, delC = 6.41118e-08, NuclRate = 1.13924e-28
Time = 2500000.000000, delC = 7.14637e-08, NuclRate = 7.98215e-26
Time = 2750000.000000, delC = 7.8861e-08, NuclRate = 1.15885e-23
Time = 3000000.000000, delC = 8.63037e-08, NuclRate = 5.59409e-22
Time = 3250000.000000, delC = 9.37916e-08, NuclRate = 1.21976e-20
Time = 3500000.000000, delC = 1.01325e-07, NuclRate = 1.47602e-19
Time = 3750000.000000, delC = 1.08903e-07, NuclRate = 1.14334e-18
Time = 4000000.000000, delC = 1.16526e-07, NuclRate = 6.2757e-18
Time = 4250000.000000, delC = 1.24194e-07, NuclRate = 2.62839e-17
Time = 4500000.000000, delC = 1.31907e-07, NuclRate = 8.87442e-17
Time = 4750000.000000, delC = 1.39665e-07, NuclRate = 2.51809e-16
Time = 5000000.000000, delC = 1.47467e-07, NuclRate = 6.19944e-16
Time = 5250000.000000, delC = 1.55314e-07, NuclRate = 1.35763e-15
Time = 5500000.000000, delC = 1.63205e-07, NuclRate = 2.69697e-15
Time = 5750000.000000, delC = 1.71141e-07, NuclRate = 4.93661e-15
Time = 6000000.000000, delC = 1.7912e-07, NuclRate = 8.4316e-15
Time = 6250000.000000, delC = 1.87144e-07, NuclRate = 1.3576e-14
Time = 6500000.000000, delC = 1.95212e-07, NuclRate = 2.0781e-14
Time = 6750000.000000, delC = 2.03324e-07, NuclRate = 3.04516e-14
Time = 7000000.000000, delC = 2.11479e-07, NuclRate = 4.29653e-14
Time = 7250000.000000, delC = 2.19679e-07, NuclRate = 5.86541e-14
Time = 7500000.000000, delC = 2.27921e-07, NuclRate = 7.77912e-14
Time = 7750000.000000, delC = 2.36208e-07, NuclRate = 1.00583e-13
Time = 8000000.000000, delC = 2.44537e-07, NuclRate = 1.27164e-13
Time = 8250000.000000, delC = 2.5291e-07, NuclRate = 1.576e-13
Time = 8500000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Time = 8750000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Time = 9000000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 2.77848e-11 g at index (99,14,116) at time 9.021 m.y.
Uncompensated deficit of 4.43985e-11 g at index (98,15,117) at time 9.050 m.y.
Uncompensated deficit of 7.20998e-11 g at index (100,13,116) at time 9.050 m.y.
Uncompensated deficit of 9.17633e-11 g at index (99,13,118) at time 9.076 m.y.
Uncompensated deficit of 4.59879e-11 g at index (98,16,115) at time 9.096 m.y.
Uncompensated deficit of 7.47966e-11 g at index (101,12,116) at time 9.117 m.y.
Uncompensated deficit of 3.19128e-11 g at index (97,16,117) at time 9.118 m.y.
Uncompensated deficit of 1.02169e-10 g at index (23,82,123) at time 9.228 m.y.
Time = 9250000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 2.77744e-11 g at index (55,57,129) at time 9.375 m.y.
Uncompensated deficit of 1.3222e-11 g at index (55,56,128) at time 9.419 m.y.
Time = 9500000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 3.94763e-11 g at index (18,7,126) at time 9.576 m.y.
Uncompensated deficit of 4.58106e-11 g at index (32,115,129) at time 9.673 m.y.
Uncompensated deficit of 3.99106e-12 g at index (74,84,54) at time 9.706 m.y.
Uncompensated deficit of 7.06349e-11 g at index (73,85,55) at time 9.735 m.y.
Time = 9750000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 1.82592e-11 g at index (16,64,9) at time 9.775 m.y.
Uncompensated deficit of 3.99873e-11 g at index (73,26,21) at time 9.817 m.y.
Uncompensated deficit of 8.11906e-11 g at index (59,114,130) at time 9.896 m.y.
Uncompensated deficit of 2.82465e-11 g at index (42,117,30) at time 9.898 m.y.
Uncompensated deficit of 1.16216e-10 g at index (71,87,56) at time 9.900 m.y.
Uncompensated deficit of 6.28353e-11 g at index (43,118,31) at time 9.908 m.y.
Uncompensated deficit of 2.65086e-10 g at index (70,86,54) at time 9.916 m.y.
Uncompensated deficit of 1.02114e-10 g at index (135,58,78) at time 9.947 m.y.
Uncompensated deficit of 5.15708e-12 g at index (41,107,121) at time 9.990 m.y.
Time = 10000000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 7.32547e-11 g at index (91,90,41) at time 10.008 m.y.
Uncompensated deficit of 1.01596e-11 g at index (32,122,32) at time 10.016 m.y.
Uncompensated deficit of 1.29168e-10 g at index (115,71,120) at time 10.131 m.y.
Uncompensated deficit of 1.07636e-10 g at index (116,71,118) at time 10.151 m.y.
Uncompensated deficit of 6.27602e-11 g at index (113,72,122) at time 10.168 m.y.
Uncompensated deficit of 7.46511e-11 g at index (117,71,117) at time 10.211 m.y.
Uncompensated deficit of 7.49088e-12 g at index (62,110,104) at time 10.239 m.y.
Time = 10250000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 8.79355e-11 g at index (62,109,103) at time 10.259 m.y.
Uncompensated deficit of 1.08845e-10 g at index (61,111,105) at time 10.267 m.y.
Uncompensated deficit of 1.70871e-11 g at index (38,110,130) at time 10.285 m.y.
Uncompensated deficit of 1.32953e-12 g at index (64,110,103) at time 10.303 m.y.
