time step	time (yr)	temp (°C)	Al eqm CAR (mol/cm^3)	Al in CAR (mol)	Al in CAP (mol)	Al in fluid (mol)	CAR (g)	CAP (g)	numPorph	Mean rxn aff (kJ/mol)
0	0	450.000000	5.60002e-07	0.0044627	0	3.01529e-05	0.923045	0	0	8.20915e-05
12500	250000	452.500000	5.66942e-07	0.00446232	0	3.05266e-05	0.922967	0	0	0.282447
25000	500000	455.000000	5.73927e-07	0.00446195	0	3.09027e-05	0.92289	0	0	0.565159
37500	750000	457.500000	5.80959e-07	0.00446157	0	3.12813e-05	0.922811	0	0	0.848215
50000	1000000	460.000000	5.88037e-07	0.00446119	0	3.16624e-05	0.922732	0	0	1.13161
62500	1250000	462.500000	5.9516e-07	0.00446081	0	3.2046e-05	0.922653	0	0	1.41535
75000	1500000	465.000000	6.02329e-07	0.00446042	0	3.2432e-05	0.922573	0	0	1.69942
87500	1750000	467.500000	6.09545e-07	0.00446003	0	3.28205e-05	0.922493	0	0	1.98382
100000	2000000	470.000000	6.16805e-07	0.00445964	0	3.32114e-05	0.922412	0	0	2.26855
112500	2250000	472.500000	6.24112e-07	0.00445925	0	3.36048e-05	0.922331	0	0	2.55361
125000	2500000	475.000000	6.31464e-07	0.00445885	0	3.40007e-05	0.922249	0	0	2.83899
137500	2750000	477.500000	6.38861e-07	0.00445845	0	3.4399e-05	0.922166	0	0	3.1247
150000	3000000	480.000000	6.46304e-07	0.00445805	0	3.47997e-05	0.922083	0	0	3.41072
162500	3250000	482.500000	6.53792e-07	0.00445765	0	3.52029e-05	0.922	0	0	3.69706
175000	3500000	485.000000	6.61325e-07	0.00445724	0	3.56085e-05	0.921916	0	0	3.98372
187500	3750000	487.500000	6.68903e-07	0.00445683	0	3.60166e-05	0.921832	0	0	4.27068
200000	4000000	490.000000	6.76526e-07	0.00445642	0	3.64271e-05	0.921747	0	0	4.55796
212500	4250000	492.500000	6.84194e-07	0.00445601	0	3.68399e-05	0.921661	0	0	4.84554
225000	4500000	495.000000	6.91907e-07	0.0044556	0	3.72552e-05	0.921576	0	0	5.13342
237500	4750000	497.500000	6.99665e-07	0.00445518	0	3.76729e-05	0.921489	0	0	5.42161
250000	5000000	500.000000	7.07467e-07	0.00445476	0	3.8093e-05	0.921402	0	0	5.71009
262500	5250000	502.500000	7.15314e-07	0.00445434	0	3.85155e-05	0.921315	0	0	5.99887
275000	5500000	505.000000	7.23205e-07	0.00445391	0	3.89404e-05	0.921227	0	0	6.28795
287500	5750000	507.500000	7.31141e-07	0.00445348	0	3.93677e-05	0.921139	0	0	6.57731
300000	6000000	510.000000	7.3912e-07	0.00445297	4.01561e-08	3.97974e-05	0.921032	7.92496e-06	1	6.86696
312500	6250000	512.500000	7.47144e-07	0.00445189	3.36853e-07	4.02293e-05	0.920809	6.64793e-05	2	7.15686
325000	6500000	515.000000	7.55212e-07	0.00445086	7.57957e-07	4.06635e-05	0.920595	0.000149586	3	7.4469
337500	6750000	517.500000	7.63324e-07	0.0044495	1.43665e-06	4.11001e-05	0.920315	0.000283529	3	7.73732
350000	7000000	520.000000	7.71479e-07	0.00444771	2.6035e-06	4.15385e-05	0.919944	0.000513811	5	8.02766
362500	7250000	522.500000	7.79679e-07	0.00444439	4.73852e-06	4.19789e-05	0.919259	0.000935166	7	8.31802
375000	7500000	525.000000	7.87921e-07	0.00443905	8.53026e-06	4.24208e-05	0.918152	0.00168348	12	8.6082
387500	7750000	527.500000	7.96208e-07	0.00443075	1.50661e-05	4.28632e-05	0.916436	0.00297336	17	8.89742
400000	8000000	530.000000	8.04537e-07	0.00441696	2.64339e-05	4.33052e-05	0.913585	0.00521683	24	9.18523
