Num ppbs	234
Nucl time (y)	Nucl temp (°C)	x (vox)	y (vox)	z (vox)	Vol (cm^3)	Ext Vol(cm^3)	Rxn affinity (kJ/mol)
5942700	509.427	48	21	84	0.00191193	0.00191193	6.80055
6055040	510.55	107	21	121	0.00157219	0.00157219	6.93078
6483600	514.836	15	91	136	0.000727635	0.000727635	7.42809
6927740	519.277	33	122	85	0.00142565	0.00142565	7.94436
6930520	519.305	80	93	48	0.00118974	0.00118974	7.94759
7030600	520.306	92	8	112	0.00114604	0.00114604	8.06405
7184320	521.843	13	25	48	0.00186085	0.00186085	8.24301
7255440	522.554	61	124	123	0.00110657	0.00110657	8.32584
7264060	522.641	62	113	73	0.00110645	0.00110645	8.33588
7343200	523.432	117	88	57	0.0014472	0.0014472	8.42809
7437800	524.378	121	116	82	0.00164468	0.00164468	8.53834
7467100	524.671	33	81	138	0.000481666	0.000481666	8.57249
7557380	525.574	67	22	105	0.00122368	0.00122368	8.67776
7587240	525.872	33	139	134	0.000475232	0.000475232	8.71258
7634760	526.348	92	24	14	0.0013735	0.0013735	8.76801
7694480	526.945	14	85	125	0.000853379	0.000853379	8.83768
7709020	527.09	115	62	106	0.00129163	0.00129163	8.85465
7755980	527.56	53	12	104	0.00116501	0.00116501	8.90945
7800320	528.003	101	73	32	0.00114152	0.00114152	8.9612
7887340	528.873	79	92	29	0.00082708	0.000830296	9.06279
7892460	528.925	12	60	69	0.00127405	0.00127405	9.06876
7893880	528.939	23	11	134	0.000856857	0.000856857	9.07042
7894820	528.948	83	90	21	0.00103281	0.00104085	9.07152
7917720	529.177	10	5	120	0.000816472	0.000816472	9.09826
8055720	530.557	130	92	113	0.00106891	0.00106891	9.25945
8058860	530.589	110	72	134	0.000867801	0.000867801	9.26312
8067420	530.674	16	139	68	0.000541133	0.000541133	9.27312
8072920	530.729	105	100	126	0.00115992	0.00115992	9.27955
8143300	531.433	62	107	84	0.000843421	0.000843421	9.36179
8173540	531.735	123	10	66	0.00127724	0.00127724	9.39713
8238760	532.388	137	24	136	0.000549797	0.000549797	9.47337
8261520	532.615	108	54	52	0.00132275	0.00132275	9.49998
