Num ppbs	200
Nucl time (y)	Nucl temp (°C)	x (vox)	y (vox)	z (vox)	Vol (cm^3)	Ext Vol(cm^3)	Rxn affinity (kJ/mol)
5926000	509.26	60	27	59	0.00131707	0.00132672	6.7812
6590000	515.9	124	72	115	0.00183244	0.00183244	7.55169
6614000	516.14	76	41	122	0.0015481	0.0015481	7.57957
6752000	517.52	59	122	91	0.00148402	0.00148402	7.73997
6872000	518.72	58	21	67	0.00115082	0.00115886	7.87952
7034000	520.34	38	16	94	0.00127755	0.00127755	8.06801
7468000	524.68	13	50	53	0.00143051	0.00148037	8.57354
7476000	524.76	37	138	35	0.000699809	0.000699809	8.58287
7478000	524.78	132	25	17	0.00124869	0.00124869	8.5852
7500000	525	21	91	101	0.00136336	0.00136336	8.61085
7520000	525.2	111	26	15	0.00148706	0.00148706	8.63417
7590000	525.9	5	131	39	0.000905773	0.000905773	8.7158
7618000	526.18	2	65	86	0.000723423	0.000723423	8.74846
7634000	526.34	118	124	104	0.00108826	0.00108826	8.76712
7748000	527.48	90	23	126	0.000961098	0.000961098	8.90013
7776000	527.76	23	94	35	0.00161596	0.00161596	8.93281
7824000	528.24	122	136	87	0.000656787	0.000656787	8.98884
7878000	528.78	81	122	26	0.00145687	0.00145687	9.05188
7910000	529.1	61	117	32	0.000731566	0.000739607	9.08924
7926000	529.26	27	24	102	0.00119582	0.00119582	9.10793
8006000	530.06	33	61	30	0.00145924	0.00145924	9.20136
8010000	530.1	110	131	112	0.00100973	0.00100973	9.20604
8012000	530.12	92	13	99	0.00164327	0.00164327	9.20837
8016000	530.16	65	135	120	0.000723032	0.000723032	9.21305
8022000	530.22	77	135	124	0.000733765	0.000733765	9.22006
8094000	530.94	26	14	132	0.00112096	0.00112096	9.30418
8112000	531.12	106	13	128	0.0012937	0.0012937	9.32521
8150000	531.5	100	48	71	0.000886894	0.000890111	9.36962
8210000	532.1	112	124	74	0.000900158	0.000900158	9.43975
8228000	532.28	94	55	72	0.000931806	0.000941456	9.46079
8240000	532.4	35	110	52	0.0010431	0.0010431	9.47482
8242000	532.42	124	103	8	0.00124998	0.00124998	9.47716
8252000	532.52	115	14	60	0.00165725	0.00165725	9.48885
8300000	533	11	114	68	0.000824064	0.000824064	9.54498
8300000	533	114	106	80	0.000980398	0.000980398	9.54498
8344000	533.44	9	113	79	0.00071802	0.00071802	9.59644
8372000	533.72	47	16	132	0.000739033	0.000739033	9.62919
8384000	533.84	29	72	75	0.00107428	0.00107428	9.64322
8384000	533.84	104	56	123	0.00148637	0.00148637	9.64322
8396000	533.96	133	57	103	0.00128816	0.00128816	9.65726
8404000	534.04	92	134	61	0.000885093	0.000885093	9.66662
8418000	534.18	27	32	72	0.00131896	0.00131896	9.683
8434000	534.34	30	131	115	0.00100701	0.00100701	9.70171
8462000	534.62	46	99	129	0.00115435	0.00115435	9.73448
8474000	534.74	91	84	68	0.0010217	0.0010217	9.74852
8490000	534.9	124	106	65	0.00123712	0.00123712	9.76724
8508000	535	34	21	6	0.00102017	0.00102017	9.77894
8516000	535	110	78	4	0.000829746	0.000829746	9.77894
8538000	535	64	111	51	0.000839908	0.000839908	9.77894
8560000	535	86	13	126	0.000703043	0.000703043	9.77894
8562000	535	73	71	34	0.00110539	0.00110539	9.77894
8620000	535	64	44	132	0.000834928	0.000834928	9.77894
8668000	535	21	52	110	0.00119913	0.00119913	9.77894
8698000	535	55	114	28	0.000505114	0.000521196	9.77894
8706000	535	76	25	56	0.00098157	0.00098157	9.77894
8716000	535	6	138	70	0.000384262	0.000384262	9.77894
8734000	535	137	93	137	0.000586743	0.000586743	9.77894
8792000	535	60	124	39	0.000518099	0.000518099	9.77894
8820000	535	43	114	28	0.000767258	0.000767258	9.77894
8894000	535	92	82	10	0.00104954	0.00104954	9.77894
8898000	535	38	97	107	0.000968374	0.000968374	9.77894
8918000	535	83	6	28	0.000885133	0.000885133	9.77894
8958000	535	47	14	122	0.000607377	0.000607377	9.77894
8966000	535	12	126	136	0.000597181	0.000597181	9.77894
8998000	535	77	95	57	0.0007751	0.0007751	9.77894
9032000	535	47	11	5	0.000751883	0.000751883	9.77894
9034000	535	11	14	19	0.00124552	0.00124552	9.77894
9048000	535	103	50	30	0.000866613	0.00087787	9.77894
9084000	535	43	19	83	0.000647849	0.000647849	9.77894
9104000	535	34	139	86	0.000373299	0.000373299	9.77894
9108000	535	55	71	126	0.00113741	0.00113741	9.77894
9128000	535	91	102	60	0.000699703	0.000699703	9.77894
9198000	535	17	127	13	0.000937278	0.000937278	9.77894
9204000	535	127	133	71	0.000609586	0.000609586	9.77894
9224000	535	64	130	61	0.000607283	0.000607283	9.77894
9260000	535	123	118	21	0.00127978	0.00127978	9.77894
9272000	535	117	8	34	0.00086573	0.00086573	9.77894
9322000	535	37	124	58	0.000618432	0.000618432	9.77894
9328000	535	75	32	139	0.000237119	0.000237119	9.77894
9334000	535	87	99	128	0.00118449	0.00118449	9.77894
9336000	535	36	57	3	0.000545875	0.000545875	9.77894
9372000	535	10	2	110	0.000500299	0.000500299	9.77894
9398000	535	28	65	86	0.000663702	0.000663702	9.77894
9410000	535	18	55	55	0.000404386	0.000441376	8.26017
9498000	535	108	49	87	0.000945598	0.000945598	9.77894
9534000	535	13	94	131	0.000840096	0.000840096	9.77894
9566000	535	4	78	91	0.000410495	0.000410495	9.77894
9576000	535	98	129	29	0.000962066	0.000962066	9.77894
9606000	535	134	33	41	0.000862914	0.000862914	9.77894
9634000	535	11	111	96	0.000577206	0.000577206	9.77894
9674000	535	18	1	101	0.000303529	0.000303529	9.77894
9678000	535	105	91	72	0.000583091	0.000583091	9.77894
9678000	535	9	59	113	0.000689356	0.000689356	9.77894
9750000	535	50	7	43	0.000782533	0.000782533	9.77894
9818000	535	53	134	94	0.000354165	0.000354165	9.65952
9822000	535	5	77	46	0.000690775	0.000690775	9.77894
9830000	535	55	84	11	0.000722628	0.000722628	9.77894
9850000	535	132	119	96	0.00047352	0.00047352	9.77894
9866000	535	122	66	30	0.000897389	0.000897389	9.77894
9868000	535	69	129	130	0.000284568	0.000284568	9.0564
9940000	535	62	81	40	0.000595063	0.000595063	9.77894
9992000	535	38	51	11	0.000574791	0.000574791	9.77894
10048000	535	72	134	138	0.000161161	0.000161161	9.77894
10066000	535	54	63	30	0.000641684	0.000641684	9.77894
10104000	535	61	105	121	0.000618605	0.000618605	9.77894
10106000	535	113	56	14	0.000611669	0.000611669	9.77894
10152000	535	4	33	2	0.000383367	0.000383367	9.77894
10186000	535	119	130	132	0.00066707	0.00066707	9.77894
10188000	535	65	90	85	0.000647929	0.000647929	9.77894
10192000	535	16	132	125	0.000334067	0.000334067	9.77894
10198000	535	112	49	74	0.000539059	0.000539059	9.67973
10202000	535	60	88	18	0.000529881	0.000529881	9.77894
10272000	535	37	125	15	0.00053219	0.00053219	9.77894
10290000	535	75	50	94	0.000839599	0.000839599	9.77894
10302000	535	74	81	107	0.000809953	0.000809953	9.77894
10304000	535	76	93	80	0.000468429	0.000468429	9.77894
10356000	535	98	62	40	0.000459735	0.000459735	9.77894
10436000	535	138	107	18	0.000371736	0.000371736	9.77894
