Crystallize 1.4 log for model PM3_151028_2242
Run began at: Wed Oct 28 22:51:44 2015

**** WARNING ****: max courant = 1.29375.  Instability possible.

Random seed used = -1446090704

Time = 250000.000000, delC = 2.85052e-09, NuclRate = 0
Time = 500000.000000, delC = 5.7054e-09, NuclRate = 0
Time = 750000.000000, delC = 8.56662e-09, NuclRate = 1.7387e-272
Time = 1000000.000000, delC = 1.14342e-08, NuclRate = 9.90783e-172
Time = 1250000.000000, delC = 1.43081e-08, NuclRate = 2.49505e-121
Time = 1500000.000000, delC = 1.71883e-08, NuclRate = 3.11303e-92
Time = 1750000.000000, delC = 2.00748e-08, NuclRate = 8.65234e-74
Time = 2000000.000000, delC = 2.29675e-08, NuclRate = 2.67213e-61
Time = 2250000.000000, delC = 2.58666e-08, NuclRate = 2.04561e-52
Time = 2500000.000000, delC = 2.87718e-08, NuclRate = 7.50167e-46
Time = 2750000.000000, delC = 3.16833e-08, NuclRate = 7.49864e-41
Time = 3000000.000000, delC = 3.4601e-08, NuclRate = 6.00729e-37
Time = 3250000.000000, delC = 3.7525e-08, NuclRate = 7.76253e-34
Time = 3500000.000000, delC = 4.04551e-08, NuclRate = 2.59025e-31
Time = 3750000.000000, delC = 4.33913e-08, NuclRate = 3.09417e-29
Time = 4000000.000000, delC = 4.63337e-08, NuclRate = 1.66994e-27
Time = 4250000.000000, delC = 4.92823e-08, NuclRate = 4.82527e-26
Time = 4500000.000000, delC = 5.2237e-08, NuclRate = 8.46897e-25
Time = 4750000.000000, delC = 5.51978e-08, NuclRate = 9.93408e-24
Time = 5000000.000000, delC = 5.81646e-08, NuclRate = 8.38153e-23
Time = 5250000.000000, delC = 6.11376e-08, NuclRate = 5.38635e-22
Time = 5500000.000000, delC = 6.41166e-08, NuclRate = 2.75856e-21
Time = 5750000.000000, delC = 6.71016e-08, NuclRate = 1.16725e-20
Time = 6000000.000000, delC = 7.00927e-08, NuclRate = 4.2014e-20
Time = 6250000.000000, delC = 7.30898e-08, NuclRate = 1.31725e-19
Time = 6500000.000000, delC = 7.60929e-08, NuclRate = 3.66815e-19
Time = 6750000.000000, delC = 7.91019e-08, NuclRate = 9.22001e-19
Time = 7000000.000000, delC = 8.2117e-08, NuclRate = 2.12012e-18
Time = 7250000.000000, delC = 8.51379e-08, NuclRate = 4.5106e-18
Time = 7500000.000000, delC = 8.81649e-08, NuclRate = 8.9638e-18
Time = 7750000.000000, delC = 9.11977e-08, NuclRate = 1.67746e-17
Time = 8000000.000000, delC = 9.42364e-08, NuclRate = 2.9766e-17
Time = 8250000.000000, delC = 9.7281e-08, NuclRate = 5.03819e-17
Time = 8500000.000000, delC = 1.00332e-07, NuclRate = 8.17599e-17
Time = 8750000.000000, delC = 1.03388e-07, NuclRate = 1.27775e-16
Time = 9000000.000000, delC = 1.0645e-07, NuclRate = 1.93051e-16
Time = 9250000.000000, delC = 1.09518e-07, NuclRate = 2.82933e-16
Time = 9500000.000000, delC = 1.12592e-07, NuclRate = 4.03427e-16
Time = 9750000.000000, delC = 1.15671e-07, NuclRate = 5.61111e-16
Time = 10000000.000000, delC = 1.18757e-07, NuclRate = 7.63017e-16
Time = 10250000.000000, delC = 1.21848e-07, NuclRate = 1.0165e-15
Time = 10500000.000000, delC = 1.24945e-07, NuclRate = 1.32908e-15
Time = 10750000.000000, delC = 1.28047e-07, NuclRate = 1.70832e-15
Time = 11000000.000000, delC = 1.31156e-07, NuclRate = 2.16165e-15
Time = 11250000.000000, delC = 1.3427e-07, NuclRate = 2.69626e-15
Time = 11500000.000000, delC = 1.37389e-07, NuclRate = 3.31896e-15
Time = 11750000.000000, delC = 1.40515e-07, NuclRate = 4.03608e-15
Time = 12000000.000000, delC = 1.43646e-07, NuclRate = 4.85337e-15
Time = 12250000.000000, delC = 1.46782e-07, NuclRate = 5.77593e-15
Time = 12500000.000000, delC = 1.49925e-07, NuclRate = 6.80818e-15
Time = 12750000.000000, delC = 1.53073e-07, NuclRate = 7.95382e-15
Time = 13000000.000000, delC = 1.56226e-07, NuclRate = 9.21576e-15
Time = 13250000.000000, delC = 1.59385e-07, NuclRate = 1.05962e-14
Time = 13500000.000000, delC = 1.6255e-07, NuclRate = 1.20966e-14
Time = 13750000.000000, delC = 1.6572e-07, NuclRate = 1.37177e-14
Time = 14000000.000000, delC = 1.68895e-07, NuclRate = 1.54595e-14
Time = 14250000.000000, delC = 1.72076e-07, NuclRate = 1.73214e-14
Time = 14500000.000000, delC = 1.75263e-07, NuclRate = 1.93023e-14
Time = 14750000.000000, delC = 1.78455e-07, NuclRate = 2.14003e-14
Time = 15000000.000000, delC = 1.81653e-07, NuclRate = 2.36131e-14
Time = 15250000.000000, delC = 1.84856e-07, NuclRate = 2.59382e-14
Time = 15500000.000000, delC = 1.88064e-07, NuclRate = 2.83723e-14
Time = 15750000.000000, delC = 1.91278e-07, NuclRate = 3.09119e-14
Time = 16000000.000000, delC = 1.94497e-07, NuclRate = 3.35533e-14
Time = 16250000.000000, delC = 1.97722e-07, NuclRate = 3.62924e-14
Uncompensated deficit of 1.9131e-09 g at index (6,108,11) at time 16.308 m.y.
Uncompensated deficit of 4.02383e-09 g at index (5,109,11) at time 16.318 m.y.
Uncompensated deficit of 6.99231e-09 g at index (6,109,10) at time 16.346 m.y.
Uncompensated deficit of 3.09011e-09 g at index (7,107,11) at time 16.402 m.y.
Uncompensated deficit of 5.6711e-09 g at index (5,110,10) at time 16.406 m.y.
Time = 16500000.000000, delC = 2.00952e-07, NuclRate = 3.91251e-14
Time = 16750000.000000, delC = 2.04187e-07, NuclRate = 4.20468e-14
Uncompensated deficit of 1.00191e-08 g at index (130,92,97) at time 16.978 m.y.
Time = 17000000.000000, delC = 2.07427e-07, NuclRate = 4.5053e-14
Time = 17250000.000000, delC = 2.10673e-07, NuclRate = 4.81392e-14
Uncompensated deficit of 2.78913e-09 g at index (24,125,71) at time 17.270 m.y.
Uncompensated deficit of 6.09851e-09 g at index (24,124,70) at time 17.310 m.y.
Uncompensated deficit of 7.64351e-09 g at index (25,125,70) at time 17.340 m.y.
Uncompensated deficit of 4.72798e-09 g at index (25,126,71) at time 17.358 m.y.
Time = 17500000.000000, delC = 2.13925e-07, NuclRate = 5.13006e-14
Time = 17750000.000000, delC = 2.17181e-07, NuclRate = 5.45326e-14
Uncompensated deficit of 4.75036e-10 g at index (16,132,63) at time 17.854 m.y.
Uncompensated deficit of 6.60827e-09 g at index (16,133,64) at time 17.864 m.y.
Time = 18000000.000000, delC = 2.20443e-07, NuclRate = 5.78303e-14
Uncompensated deficit of 1.51212e-09 g at index (61,58,104) at time 18.176 m.y.
Time = 18250000.000000, delC = 2.2371e-07, NuclRate = 6.11892e-14
Uncompensated deficit of 3.10054e-09 g at index (61,57,103) at time 18.254 m.y.
Uncompensated deficit of 4.28021e-09 g at index (5,122,24) at time 18.322 m.y.
Uncompensated deficit of 5.4378e-09 g at index (6,121,25) at time 18.340 m.y.
Uncompensated deficit of 9.50313e-09 g at index (7,122,25) at time 18.372 m.y.
Time = 18500000.000000, delC = 2.26982e-07, NuclRate = 6.46046e-14
Time = 18750000.000000, delC = 2.3026e-07, NuclRate = 6.80719e-14
Uncompensated deficit of 4.75075e-09 g at index (75,42,136) at time 18.758 m.y.
Uncompensated deficit of 6.43288e-09 g at index (74,44,137) at time 18.770 m.y.
Uncompensated deficit of 8.18362e-09 g at index (46,98,82) at time 18.928 m.y.
Uncompensated deficit of 2.53912e-09 g at index (13,132,74) at time 18.964 m.y.
Uncompensated deficit of 3.40314e-09 g at index (12,132,73) at time 18.982 m.y.
Time = 19000000.000000, delC = 2.33542e-07, NuclRate = 7.15867e-14
Uncompensated deficit of 5.76794e-09 g at index (11,131,72) at time 19.058 m.y.
Uncompensated deficit of 7.07134e-09 g at index (11,135,71) at time 19.076 m.y.
Time = 19250000.000000, delC = 2.3683e-07, NuclRate = 7.51445e-14
Time = 19500000.000000, delC = 2.40123e-07, NuclRate = 7.87411e-14
Uncompensated deficit of 6.84541e-09 g at index (122,45,125) at time 19.594 m.y.
Uncompensated deficit of 2.8865e-09 g at index (122,44,126) at time 19.612 m.y.
Uncompensated deficit of 4.7097e-09 g at index (120,44,125) at time 19.636 m.y.
Uncompensated deficit of 2.41586e-10 g at index (123,45,126) at time 19.644 m.y.
Uncompensated deficit of 4.77256e-10 g at index (120,45,124) at time 19.660 m.y.
Uncompensated deficit of 8.63426e-09 g at index (123,46,125) at time 19.666 m.y.
Uncompensated deficit of 8.39125e-09 g at index (123,44,127) at time 19.694 m.y.
Time = 19750000.000000, delC = 2.43422e-07, NuclRate = 8.23722e-14
Uncompensated deficit of 3.55551e-09 g at index (67,30,4) at time 19.966 m.y.
Uncompensated deficit of 1.63396e-09 g at index (74,93,42) at time 19.966 m.y.
Uncompensated deficit of 1.34528e-10 g at index (68,29,5) at time 19.980 m.y.
Uncompensated deficit of 6.60496e-09 g at index (73,92,41) at time 19.996 m.y.
Time = 20000000.000000, delC = 2.46725e-07, NuclRate = 8.6034e-14
Uncompensated deficit of 4.84225e-09 g at index (67,29,6) at time 20.014 m.y.
Time = 20250000.000000, delC = 2.50033e-07, NuclRate = 8.97225e-14
Time = 20500000.000000, delC = 2.53347e-07, NuclRate = 9.34338e-14
Uncompensated deficit of 1.06896e-08 g at index (70,35,131) at time 20.648 m.y.
Uncompensated deficit of 1.79198e-09 g at index (69,35,132) at time 20.690 m.y.
Time = 20750000.000000, delC = 2.56666e-07, NuclRate = 9.71645e-14
Uncompensated deficit of 6.06355e-09 g at index (97,91,63) at time 20.770 m.y.
Uncompensated deficit of 1.7933e-09 g at index (83,92,49) at time 20.780 m.y.
Uncompensated deficit of 5.36395e-09 g at index (85,90,46) at time 20.810 m.y.
Uncompensated deficit of 3.93818e-09 g at index (116,127,76) at time 20.828 m.y.
Uncompensated deficit of 5.35143e-09 g at index (23,87,62) at time 20.860 m.y.
Uncompensated deficit of 5.61638e-09 g at index (48,39,88) at time 20.898 m.y.
Uncompensated deficit of 1.45242e-09 g at index (48,38,87) at time 20.906 m.y.
Uncompensated deficit of 3.13967e-09 g at index (49,37,88) at time 20.930 m.y.
Uncompensated deficit of 2.69401e-09 g at index (49,39,89) at time 20.930 m.y.
Uncompensated deficit of 6.11923e-09 g at index (18,84,59) at time 20.934 m.y.
Uncompensated deficit of 4.89701e-09 g at index (47,40,87) at time 20.954 m.y.
Time = 21000000.000000, delC = 2.59989e-07, NuclRate = 1.00911e-13
Uncompensated deficit of 3.64359e-10 g at index (54,53,86) at time 21.006 m.y.
Uncompensated deficit of 5.95174e-09 g at index (50,37,89) at time 21.008 m.y.
Uncompensated deficit of 4.0763e-09 g at index (49,36,87) at time 21.014 m.y.
Uncompensated deficit of 6.83672e-09 g at index (50,38,90) at time 21.026 m.y.
Uncompensated deficit of 1.9786e-09 g at index (102,23,88) at time 21.054 m.y.
Uncompensated deficit of 9.51638e-09 g at index (103,21,87) at time 21.078 m.y.
Uncompensated deficit of 4.25321e-09 g at index (63,38,89) at time 21.102 m.y.
Uncompensated deficit of 4.72933e-09 g at index (64,38,88) at time 21.124 m.y.
Uncompensated deficit of 1.23222e-09 g at index (64,40,89) at time 21.136 m.y.
