time step	time (yr)	temp (°C)	Al eqm CAR (mol/cm^3)	Al in CAR (mol)	Al in CAP (mol)	Al in fluid (mol)	CAR (g)	CAP (g)	numPorph	Mean rxn aff (kJ/mol)
0	0	435.000000	5.60002e-07	0.00669405	0	0.00215378	1.38457	0	0	8.03887e-05
125	250000	436.250000	5.62851e-07	0.00668309	0	0.00216473	1.3823	0	0	0.1138
250	500000	437.500000	5.65705e-07	0.00667211	0	0.00217571	1.38003	0	0	0.227599
375	750000	438.750000	5.68567e-07	0.00666111	0	0.00218672	1.37775	0	0	0.341476
500	1000000	440.000000	5.71434e-07	0.00665008	0	0.00219775	1.37547	0	0	0.45543
625	1250000	441.250000	5.74308e-07	0.00663903	0	0.0022088	1.37319	0	0	0.569462
750	1500000	442.500000	5.77188e-07	0.00662795	0	0.00221988	1.3709	0	0	0.683571
875	1750000	443.750000	5.80075e-07	0.00661685	0	0.00223098	1.3686	0	0	0.797756
1000	2000000	445.000000	5.82968e-07	0.00660572	0	0.0022421	1.3663	0	0	0.912019
1125	2250000	446.250000	5.85867e-07	0.00659457	0	0.00225325	1.36399	0	0	1.02636
1250	2500000	447.500000	5.88772e-07	0.0065834	0	0.00226443	1.36168	0	0	1.14077
1375	2750000	448.750000	5.91683e-07	0.0065722	0	0.00227563	1.35936	0	0	1.25526
1500	3000000	450.000000	5.94601e-07	0.00656098	0	0.00228685	1.35704	0	0	1.36983
1625	3250000	451.250000	5.97525e-07	0.00654973	0	0.00229809	1.35472	0	0	1.48447
1750	3500000	452.500000	6.00455e-07	0.00653846	0	0.00230936	1.35239	0	0	1.59918
1875	3750000	453.750000	6.03391e-07	0.00652717	0	0.00232065	1.35005	0	0	1.71397
2000	4000000	455.000000	6.06334e-07	0.00651586	0	0.00233197	1.34771	0	0	1.82883
2125	4250000	456.250000	6.09282e-07	0.00650451	0	0.00234331	1.34536	0	0	1.94377
2250	4500000	457.500000	6.12237e-07	0.00649315	0	0.00235468	1.34301	0	0	2.05878
2375	4750000	458.750000	6.15198e-07	0.00648176	0	0.00236606	1.34066	0	0	2.17386
2500	5000000	460.000000	6.18165e-07	0.00647035	0	0.00237747	1.3383	0	0	2.28902
2625	5250000	461.250000	6.21138e-07	0.00645892	0	0.00238891	1.33593	0	0	2.40424
2750	5500000	462.500000	6.24117e-07	0.00644746	0	0.00240036	1.33356	0	0	2.51954
2875	5750000	463.750000	6.27102e-07	0.00643598	0	0.00241184	1.33119	0	0	2.63492
3000	6000000	465.000000	6.30093e-07	0.00642448	0	0.00242335	1.32881	0	0	2.75036
3125	6250000	466.250000	6.3309e-07	0.00641295	0	0.00243488	1.32643	0	0	2.86587
3250	6500000	467.500000	6.36093e-07	0.0064014	0	0.00244643	1.32404	0	0	2.98146
3375	6750000	468.750000	6.39102e-07	0.00638983	0	0.002458	1.32164	0	0	3.09711
3500	7000000	470.000000	6.42117e-07	0.00637823	0	0.00246959	1.31925	0	0	3.21284
