Crystallize 1.4 log for model PM4_120619_1554_rnd1
Run began at: Thu Jul 19 23:11:03 2012

courant = 0.846364

Random seed used = -1340438188

Time = 100000.000000, delC = 7.14726e-09, NuclRate = 3.68834e-60
Time = 200000.000000, delC = 1.43638e-08, NuclRate = 1.4405e-30
Time = 300000.000000, delC = 2.1654e-08, NuclRate = 5.9163e-23
Time = 400000.000000, delC = 2.90182e-08, NuclRate = 1.04247e-19
Time = 500000.000000, delC = 3.64571e-08, NuclRate = 5.631e-18
Time = 600000.000000, delC = 4.39712e-08, NuclRate = 6.35239e-17
Time = 700000.000000, delC = 5.1561e-08, NuclRate = 3.1514e-16
Time = 800000.000000, delC = 5.92272e-08, NuclRate = 9.69435e-16
Time = 900000.000000, delC = 6.69702e-08, NuclRate = 2.21042e-15
Time = 1000000.000000, delC = 7.47906e-08, NuclRate = 4.13263e-15
Time = 1100000.000000, delC = 8.2689e-08, NuclRate = 6.73395e-15
Time = 1200000.000000, delC = 9.06659e-08, NuclRate = 9.94191e-15
Time = 1300000.000000, delC = 9.87219e-08, NuclRate = 1.36465e-14
Time = 1400000.000000, delC = 1.06857e-07, NuclRate = 1.77262e-14
Time = 1500000.000000, delC = 1.15073e-07, NuclRate = 2.20646e-14
Time = 1600000.000000, delC = 1.2337e-07, NuclRate = 2.65593e-14
Time = 1700000.000000, delC = 1.31748e-07, NuclRate = 3.11244e-14
Time = 1800000.000000, delC = 1.40208e-07, NuclRate = 3.56916e-14
Time = 1900000.000000, delC = 1.4875e-07, NuclRate = 4.02076e-14
Time = 2000000.000000, delC = 1.57376e-07, NuclRate = 4.46328e-14
Time = 2100000.000000, delC = 1.66085e-07, NuclRate = 4.89384e-14
Time = 2200000.000000, delC = 1.74878e-07, NuclRate = 5.31046e-14
Time = 2300000.000000, delC = 1.83756e-07, NuclRate = 5.71183e-14
Time = 2400000.000000, delC = 1.9272e-07, NuclRate = 6.09722e-14
Time = 2500000.000000, delC = 2.01769e-07, NuclRate = 6.46629e-14
Time = 2600000.000000, delC = 2.10905e-07, NuclRate = 6.81901e-14
Time = 2700000.000000, delC = 2.20128e-07, NuclRate = 7.15558e-14
Time = 2800000.000000, delC = 2.29439e-07, NuclRate = 7.47636e-14
Time = 2900000.000000, delC = 2.38839e-07, NuclRate = 7.78183e-14
Time = 3000000.000000, delC = 2.48327e-07, NuclRate = 8.07256e-14
Time = 3100000.000000, delC = 2.57905e-07, NuclRate = 8.34914e-14
Time = 3200000.000000, delC = 2.67572e-07, NuclRate = 8.6122e-14
Time = 3300000.000000, delC = 2.77331e-07, NuclRate = 8.86238e-14
Time = 3400000.000000, delC = 2.87181e-07, NuclRate = 9.10031e-14
Time = 3500000.000000, delC = 2.97123e-07, NuclRate = 9.32663e-14
Time = 3600000.000000, delC = 3.07157e-07, NuclRate = 9.54195e-14
Time = 3700000.000000, delC = 3.17285e-07, NuclRate = 9.74684e-14
Time = 3800000.000000, delC = 3.27506e-07, NuclRate = 9.94187e-14
Time = 3900000.000000, delC = 3.37822e-07, NuclRate = 1.01276e-13
Time = 4000000.000000, delC = 3.48233e-07, NuclRate = 1.03045e-13
Time = 4100000.000000, delC = 3.58739e-07, NuclRate = 1.04731e-13
Time = 4200000.000000, delC = 3.69341e-07, NuclRate = 1.06338e-13
Time = 4300000.000000, delC = 3.80041e-07, NuclRate = 1.07871e-13
Time = 4400000.000000, delC = 3.90838e-07, NuclRate = 1.09334e-13
Time = 4500000.000000, delC = 4.01733e-07, NuclRate = 1.1073e-13
Time = 4600000.000000, delC = 4.12726e-07, NuclRate = 1.12064e-13
Time = 4700000.000000, delC = 4.23819e-07, NuclRate = 1.13339e-13
Time = 4800000.000000, delC = 4.35012e-07, NuclRate = 1.14557e-13
Time = 4900000.000000, delC = 4.46306e-07, NuclRate = 1.15722e-13
Time = 5000000.000000, delC = 4.57701e-07, NuclRate = 1.16837e-13
Time = 5100000.000000, delC = 4.69197e-07, NuclRate = 1.17905e-13
