time step	time (yr)	temp (°C)	Al eqm CAR (mol/cm^3)	Al in CAR (mol)	Al in CAP (mol)	Al in fluid (mol)	CAR (g)	CAP (g)	numPorph	Mean rxn aff (kJ/mol)
0	0	435.000000	5.60004e-07	0.0281063	0	0.000153931	8.49146	0	0	8.82153e-05
500	100000	436.000000	5.67147e-07	0.0281047	0	0.000155538	8.49098	0	0	0.137676
1000	200000	437.000000	5.74364e-07	0.028103	0	0.000157221	8.49047	0	0	0.280482
1500	300000	438.000000	5.81654e-07	0.0281012	0	0.000158962	8.48994	0	0	0.426976
2000	400000	439.000000	5.89018e-07	0.0280994	0	0.000160757	8.4894	0	0	0.576648
2500	500000	440.000000	5.96457e-07	0.0280976	0	0.000162603	8.48884	0	0	0.729201
3000	600000	441.000000	6.03971e-07	0.0280957	0	0.000164497	8.48827	0	0	0.884401
3500	700000	442.000000	6.11561e-07	0.0280938	0	0.000166437	8.48769	0	0	1.04204
4000	800000	443.000000	6.19227e-07	0.0280918	0	0.000168421	8.48709	0	0	1.2019
4500	900000	444.000000	6.2697e-07	0.0280897	0	0.000170449	8.48647	0	0	1.36378
5000	1000000	445.000000	6.34791e-07	0.0280877	1.28959e-08	0.000172517	8.48584	3.58634e-06	1	1.52748
5500	1100000	446.000000	6.42689e-07	0.0280856	1.4922e-08	0.000174625	8.48521	4.1498e-06	1	1.69281
6000	1200000	447.000000	6.50666e-07	0.0280834	2.97154e-08	0.00017677	8.48455	8.26386e-06	2	1.85957
6500	1300000	448.000000	6.58722e-07	0.0280812	4.81998e-08	0.000178952	8.48389	1.34044e-05	3	2.02758
7000	1400000	449.000000	6.66857e-07	0.0280789	5.69453e-08	0.000181168	8.48321	1.58365e-05	3	2.19669
7500	1500000	450.000000	6.75073e-07	0.0280767	8.10747e-08	0.000183417	8.48252	2.25469e-05	4	2.36673
8000	1600000	451.000000	6.8337e-07	0.0280743	1.10733e-07	0.000185698	8.48182	3.07948e-05	5	2.53756
8500	1700000	452.000000	6.91748e-07	0.028072	1.30653e-07	0.00018801	8.4811	3.63346e-05	5	2.70905
9000	1800000	453.000000	7.00208e-07	0.0280696	1.67504e-07	0.000190352	8.48038	4.65829e-05	6	2.88108
9500	1900000	454.000000	7.0875e-07	0.028067	2.70751e-07	0.000192722	8.47961	7.52957e-05	11	3.05355
10000	2000000	455.000000	7.17376e-07	0.0280645	3.28317e-07	0.00019512	8.47885	9.13049e-05	11	3.22638
10500	2100000	456.000000	7.26085e-07	0.0280619	4.15631e-07	0.000197544	8.47807	0.000115587	13	3.39946
11000	2200000	457.000000	7.34878e-07	0.0280593	5.26174e-07	0.000199995	8.47727	0.000146329	15	3.57275
11500	2300000	458.000000	7.43756e-07	0.0280565	6.53306e-07	0.000202472	8.47644	0.000181684	18	3.74615
12000	2400000	459.000000	7.5272e-07	0.0280538	7.91539e-07	0.000204973	8.4756	0.000220127	19	3.91964
12500	2500000	460.000000	7.61769e-07	0.0280509	9.42745e-07	0.000207498	8.47474	0.000262177	21	4.09309
13000	2600000	461.000000	7.70905e-07	0.028048	1.11694e-06	0.000210048	8.47386	0.000310621	22	4.26659
13500	2700000	462.000000	7.80128e-07	0.028045	1.31814e-06	0.000212622	8.47296	0.000366576	24	4.44009
