Num ppbs	979
Nucl time (y)	Nucl temp (°C)	x (vox)	y (vox)	z (vox)	Vol (cm^3)	Ext Vol(cm^3)	Rxn affinity (kJ/mol)
976000	444.76	40	118	15	0.00247516	0.00269686	1.64369
1198400	446.984	35	51	34	0.00271719	0.00271719	2.01895
1269200	447.692	11	105	23	0.0017911	0.00180907	2.13846
1442000	449.42	94	47	108	0.00258995	0.00258995	2.43027
1523800	450.238	118	34	72	0.00276747	0.00283338	2.56846
1744800	452.448	16	69	51	0.002125	0.002125	2.942
1831400	453.314	128	17	48	0.00279584	0.00321528	3.08844
1842400	453.424	93	13	78	0.0030559	0.0030559	3.10704
1844200	453.442	5	6	47	0.00307664	0.00307664	3.11009
1845000	453.45	91	3	50	0.00185771	0.00185771	3.11144
1890000	453.9	34	86	54	0.00238058	0.00238058	3.18755
2088000	455.88	100	65	24	0.00501625	0.00501625	3.52258
2097000	455.97	51	66	125	0.00206982	0.00206982	3.53781
2133400	456.334	128	45	65	0.00593606	0.00593606	3.59943
2139600	456.396	33	65	128	0.0028209	0.0028209	3.60992
2255800	457.558	16	90	10	0.00449424	0.00449424	3.80666
2255800	457.558	83	98	70	0.00160417	0.00160417	3.58509
2286200	457.862	125	104	91	0.00367892	0.00388265	3.85815
2353400	458.534	122	27	83	0.00174997	0.00183985	3.97197
2405600	459.056	77	83	58	0.00124065	0.00124065	3.37118
2492800	459.928	110	128	135	0.00245844	0.00245844	4.20815
2532600	460.326	13	119	11	0.00309428	0.00309428	4.2756
2661600	461.616	112	1	139	0.000924666	0.000924666	4.49428
2694200	461.942	138	2	99	0.00179478	0.00179478	4.54955
2707400	462.074	119	110	125	0.00359944	0.00359944	4.57194
2711000	462.11	38	77	103	0.00242402	0.00251989	4.57804
2723600	462.236	28	74	49	0.00207922	0.00229493	4.59941
2727600	462.276	75	7	140	0.000583545	0.000583545	3.89501
2730800	462.308	9	134	38	0.00258478	0.00258478	4.61162
2797600	462.976	54	12	2	0.00131155	0.00131155	4.72491
2798000	462.98	66	98	111	0.000406819	0.000424795	3.96942
2804800	463.048	62	38	94	0.000960669	0.000960669	4.13347
2822600	463.226	127	99	125	0.00223514	0.00234898	4.76732
2827800	463.278	69	92	110	0.000598639	0.000598639	3.96837
2837800	463.378	131	101	102	0.00286575	0.00294365	4.7931
2857200	463.572	16	22	138	0.00345396	0.00345396	4.82602
2875800	463.758	49	102	5	0.00198688	0.00198688	4.85757
2916400	464.164	60	105	4	0.000551142	0.000551142	4.45553
2938000	464.38	46	95	107	0.00218324	0.00274649	4.96311
2979400	464.794	12	74	91	0.00356778	0.00356778	5.03336
